Subject,Email,Label
"cheap , cheap , discount software . name brand software at generic prices compensate","opt - in email offer for may 2004 unsubscribe me
search software top 10 titles on sale now ! 1 windows xp pro 2 office xp pro 3 photoshop 8 . 0 cs 4 flash mx 20045 acrobat 6 . 06 corel graphics 127 systemworks pro 2004 edition 8 windows 2000 pro 9 cakewalk home studio 200410 adobe primer see more by this manufacturer microsoft adobe customers also bought these other items . . . share your thoughts write a review e - mail a friend about this item microsoft windows xp professional oem microsoft choose : see other options list price : $ 279 . 00 price : $ 49 . 99 you save : $ 229 . 01 ( 85 % ) availability : available for instant download ! coupon code : is 229 media : cd - rom / download system requirements | accessories | other versionsfeatures : designed for businesses of all sizes manage digital pictures , music , video , dvds , and more more security with the ability to encrypt files and folders built - in voice , video , and instant messaging support integration with windows servers and management solutions sales rank : # 1 shipping : international / us or via instant download date coupon expires : may 30 th , 2004 average customer review : based on 1 , 368 reviews . write a review . microsoft office xp professional oem microsoft choose : see other options list price : $ 549 . 00 price : $ 69 . 99 you save : $ 479 . 01 ( 87 % ) availability : available for instant download ! coupon code : is 229 media : cd - rom / download system requirements | accessories | other versionsfeatures : delve into databases with ease new context - sensitive smart tags new task panes new outlook condenses all your personal and professional e - mail into one central location - - even web - based e - mail includes word , excel , outlook , powerpoint , and access sales rank : # 2 shipping : international / us or via instant download date coupon expires : may 30 th , 2004 average customer review : based on 887 reviews . write a review . adobe photoshop cs 8 . 0 adobe choose : see other options list price : $ 599 . 00 price : $ 59 . 99 you save : $ 539 . 01 ( 90 % ) availability : available for instant download ! coupon code : is 229 media : cd - rom / download system requirements | accessories | other versionsfeatures : improved file management , new design possibilities , and a more intuitive way to create for the web support for 16 - bit images , digital camera raw data , and non - square pixels create or modify photos using painting , drawing , and retouching tools customized workspace ; save personalized workspace and tool settings ; create customized shortcuts unparalleled efficiency - - automate production tasks with built - in or customized scripts sales rank : # 3 shipping : international / us or via instant download date coupon expires : may 30 th , 2004 average customer review : based on 498 reviews . write a review . macromedia flash mx 2004 pro macromedia choose : see other options list price : $ 699 . 00 price : $ 49 . 99 you save : $ 649 . 01 ( 90 % ) availability : available for instant download ! coupon code : is 229 media : cd - rom / download system requirements | accessories | other versions features : top - of - the - line flash development environment for advanced content and applications tools for creating forms - based data - driven applications , interactive presentations , high quality video experiences and more build effective data - driven applications with familiar forms - based development , powerful data - binding , and microsoft visual sourcesafe integration add interactivity and customized interfaces to high quality video broad device deployment is easy with device - specific emulators , templates and sample content sales rank : # 4 shipping : international / us or via instant download date coupon expires : may 30 th , 2004 average customer review : based on 217 reviews . write a review . arboreal aim apocalypse calorimeter inarticulate ali fungicide vivace checkbook germinate colossal menial prudent claw nowaday hettie sleight cauchy curse insect mccall sicily convey dish wander schiller thruway digress ervin chutney broadway council tipoff pigeonfoot freud tradesman gang degeneracy thy declarative bustle extraterrestrial arsenal accept beneficent chirp netherworld eveready hager medium",1
re : deal 34342,"daren - thu has asked if i can extend deal 343421 thru feb . ' 01 . i told her i didn ' t have the authority to do this . it is for equistar . it looks like it is a term deal expiring jan . ' 01 . she wants it added to keep the ena deal whole . what do you suggest ?
al
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 03 / 14 / 2001 10 : 58 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
to : aimee lannou / hou / ect @ ect
cc :
subject : re : deal 34342
aimee ,
this is the deal for equistar . there is not enough gas at meter 1373 to keep the ena deal whole . i need this deal to create buyback . this was out there last month and anita told me to get the deal extended . let me know if there is another way .
thu
aimee lannou 03 / 14 / 2001 10 : 23 am
to : thu t nguyen / hou / ect @ ect
cc :
subject : re : deal 34342
why do you need it extended ? this deal may not be able to get extended . which meter are you having problems with ?
to : aimee lannou / hou / ect @ ect
cc :
subject : re : deal 34342
aimee ,
i am so sorry . . . i don ' t know what ' s wrong with me . the deal is 343421 . if you can ' t extend this deal please let me know . thanks
thu
aimee lannou 03 / 14 / 2001 07 : 59 am
to : thu t nguyen / hou / ect @ ect
cc : edward terry / hou / ect @ ect , juliann kemp / enron @ enronxgate
subject : re : deal 34342
i don ' t have access to this ticket . it is an im canada ticket .
from : thu t nguyen 03 / 13 / 2001 05 : 45 pm
to : aimee lannou / hou / ect @ ect
cc :
subject : deal 34342
aimee , please extend the deal above to feb 01 .",0
texas & hplc deals that end 2 / 28 / 00,"f y i
- - - - - - - - - - - - - - - - - - - - - - forwarded by carlos j rodriguez / hou / ect on 02 / 22 / 2000
12 : 52 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
bryan hull
02 / 22 / 2000 09 : 18 am
to : carlos j rodriguez / hou / ect @ ect
cc :
subject : texas & hplc deals that end 2 / 28 / 00
carlos , i added a line to these deals to include the 29 th of february . i
wanted to let you , so if you have any questions or need anything let me know .
bryan
the following deals have end dates of 2 / 28 / 00 and likely should be 2 / 29 / 00 .
take a look and change if necessary .
note : if a financial deal is associated with the deal it will likely need to
also be changed .
hplc
83084
83088
166853
166026
157233
157284
147866
texas
157564
124972
72047",0
""" wells fargo amt service upgrade ""","dear wells fargo customer ,
in order to be prepared for the smart card upgrade on visa and mastercard debit and credit cards and to avoid problems with our atm services , we have recently introduced additional security measures and upgraded our software .
this security upgrade will be effective immediately and requires our customers to update their atm card information . please update your information here
wells fargo customer support dept .
674778510 [ 2",1
re : hpl delivery meter 1520,"cheryl ,
do you have any documentation on a gas lift deal with coastal ? engage ? at
meter 098 - 1520 ? thanks . george x 3 - 6992
- - - - - - - - - - - - - - - - - - - - - - forwarded by george weissman / hou / ect on 04 / 19 / 2000
06 : 48 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
lauri a allen
04 / 19 / 2000 02 : 40 pm
to : heidi withers / hou / ect @ ect
cc : william . c . falbaum @ enron . com , george weissman / hou / ect @ ect ,
dfarmer @ enron . com
subject : re : hpl delivery meter 1520
heidi - there should be a deal ticket in sitara for this sale to engage , but
it looks as though 12 / 99 was the last month a deal was entered
( if / hsc + 1 . 00 ) . george / craig - could you guys coordinate who should be rolling
this deal or let us know if this gas should not be flowing ? heidi -
historically we ' ve been charging $ . 60 / mm for this transport .
enron north america corp .
from : heidi withers 04 / 19 / 2000 10 : 27 am
to : lauri a allen / hou / ect @ ect
cc :
subject : hpl delivery meter 1520
i am finding flow out there on hpl 215 for meter 1520 ( tx city coastal
states ) starting 4 / 1 / 00 ( actually , no volume was scheduled but looks like it
has been allocated since march 1 ) . did you want a premium rate for this ?",0
nesa / hea ' s 24 th annual meeting,"saddle up for nesa / hea ' s 24 th annual meeting
"" deep in the heart of texas ""
september 9 - 11 , 2001
hyatt regency hill country resort
san antonio , texas
the annual meeting planning committee has put together an outstanding
program for your review . it is attached below in an adobe acrobat pdf file
- if you have problems with the attachment please call nesa / hea
headquarters at ( 713 ) 856 - 6525 and we ' ll mail or fax a copy out immediately .
general session topics include :
* will tomorrow ' s restructured electric infrastructure support
tomorrow ' s economy ?
* power deregulation panel : developer / ipp , utility / transmission , power
marketer , government , retail
* power demand
* the state of the energy industry
* new political administration - impact on energy policy and
environment
networking opportunities :
* opening reception - sunday , september 9
* golf tournament & tours of area attractions - monday , september 10
the hyatt regency hill country resort has a limited block of rooms available
for nesa / hea members and guests - be sure to check page 6 for lodging
information and make your reservation as soon as possible .
we hope that you take this opportunity to meet with your colleagues and
customers in this relaxing yet professional environment to exchange ideas on
matters of importance covering a broad spectrum of subjects . the annual
meeting agenda includes timely issues presented by knowledgeable industry
leaders who will discuss formidable and thought provoking issues affecting
the energy industry today .
please take a moment to review the attached brochure . nesa / hea encourages
and appreciates you taking the time to pass the brochure on to industry
personnel who would benefit from participating at this conference .
nesa / hea ' s 24 th annual meeting
educating the energy professional
to unsubscribe from the nesa / hea member email blast list please respond to
this email with the word unsubscribe typed into the subject field . this
will preclude you from receiving any email blasts in the future , but hard
copies of the material will be sent to your attention .
>
- 512 _ nesa 2001 annlmtgjam . pdf",0
duke exchange deal - supply,"deal # 231757
purchase
the deal in sitara indicates that the price for east texas gas systems is
hsc , index - $ . 085 .
per the contract , the redelivery at etgs carthage hub tailgate should be
priced at hsc index - $ . 0825 .
are these the same points and is the price correct ?
thanks
katherine",0
jenkins,"gilbert ,
online doctorxx !
up to 70 % of the best pain killers out !
and other popular meds . . valiumxanaxcialis ! !
http : / / www . thebshels 2220 tabs . biz / b 32 /
- -
declaratory , of the gang .",1
"jurirne get latest softwares , 99 % savings . cqunecc","microsoft windows xp professional $ 50
adobe photoshop 7 . 0 $ 60
microsoft office xp professional $ 60
microsoft windows 2000 professional $ 50
adobe pagemaker 7 . 0 $ 60
adobe illustrator 10 $ 60
corel draw graphics suite 11 $ 60
microsoft visual studio . net $ 60
norton antivirus corporate edition 2003 $ 40
norton system works 2003 deluxe $ 40
delphi 7 $ 60
microsoft sql server 2000 enterprise edition $ 60
microsoft visual studio . net architect edition $ 120
you are welcome",1
buy cheap viagra through us .,"hi ,
we have a new offer for you . buy cheap v?agra through our online store .
- private online ordering
- no prescription required
- world wide shipping
order your drugs offshore and save over 70 % !
click here : http : / / rxand - more . com / meds /
best regards ,
donald cunfingham
no thanks : http : / / rxand - more . com / rm . html",1
esplanade,"davies ,
govenment don ' t want me to sell
undergroundcd ! check your spouse and staff
investigate your own credit - history
hacking someone pc !
disappear in your city
bannedcd 2004
http : / / www . 9006 hosting . com / cd /
plot , portrayal of human .",1
smallcap investment opportunity,"structure technology report
may 10 th , 2005 - - for immediate release
investors and traders :
pinnacle group limited , inc . ( pgpu ) announces acquisition of aerofoam metals inc .
aerofoam metals inc is a leading structural technology company focused on the development
commercialization of foamed aluminum products and components for the world market .
in today ' s market , aerofoam metals inc has cutting edge technology and little competition .
symbol : pgpu . pk
current price : 0 . 70
short term target price : 2 . 25
12 month target price : 5 . 25
pinnaclegli . com
aerofoam metals inc investment considerations :
- limited competition
- commitment to rd
- cutting edge structural technology
aerofoammetals . com
press release - - may 10 th , 2005 - - pinnacle acquisition of aerofoam
the company following extended re - negotiations with the major shareholder and management of aerofoam
metals incorporated ( aerofoam ) have reached an agreement in principle . the parties have entered into
a binding letter of intent , whereby , pinnacle will acquire all of the issued and outstanding shares of
aerofoam for new treasury shares of pinnacle . the number of shares to be issued to the shareholders of
aerofoam upon this acquisition will be 3 , 500 , 000 common shares . the major shareholder of aerofoam who
beneficially owns 56 % of all the issued and outstanding shares of aerofoam has agreed to vote his shares
in favor of this acquisition . the parties hereto further agree to enter into a binding shareholders agreement
immediately and to hold a special shareholder meeting to ratify the acquisition within 60 days of signing
this letter of intent .
pinnacle group ltd profile :
pinnacle group is a u . s . based holding company , traded on the pinksheets . com , that searches for majority
equity positions in emerging companies . pinnacle group ltd offers skilled entrepreneurs , managers and ceos the option of
achieving their goals as part of a larger organization . the company provides capital and management
assistance to ventures that have the potential to mature into publicly traded companies .
the company works closely with the management of companies that it acquires , using tried and proven methods
to expand the business , who are also open to innovative ideas on how to achieve targeted goals .
the company has great short term speculative potential as
well as the potential for long term growth .
we believe the speculative near term target price is - 2 . 25
we believe the speculative long term target price is - 5 . 25
this is why pgpu might be the next hot pick !
please follow this one tr @ de this week ! !
nothing in this e - mail should be considered personalized investment
advice . although our employees may answer your general customer
service questions , they are not licensed under securities laws to
address your particular investment situation . no communication by our
employees to you should be deemed as personalized investment advice .
we expressly forbid our writers from having a financial interest in
any security recommended to our readers . all of our employees and
agents must wait 24 hours after on - line publication or 72 hours after
the mailing of printed - only publication prior to following an initial
recommendation . any investments recommended in this letter should be
made only after consulting with your investment advisor and only after
reviewing the prospectus or financial statements of the company .
for any other subscription issues , reply please to : no _ morenewslettersl @ yahoo . com
( c ) 2005 investment newsletter all rights reserved",1
alert : spam prevention,"cllck the stop sign to stop
spam once and for all !
eliminates porn
too !
r 3 move
me",1
"hpl nom for june 1 , 2001","( see attached file : hplno 601 . xls )
- hplno 601 . xls",0
re : milan,"waterproof , stainless steel material , sapphire crystal surface and other
lovely features bring you sheer feeling for luxury .
wearing rollexes is stylish . wearing our rollexes is smart and stylish .
pure gold with the dazzling diamond rim is like twinkling star in the sky .
looking identical to the originals . you will be impressed with their
quality finishes .
over expenditure is not a good sign . so browse our reasonable prices at
once
there are various modules with various energies . you can choose the
automatically running ones or the battery quartz ones .
than captain wentworth had been by the sight of anne .
to be captiously irritable , misled by every moment ' s inadvertence ,
plant , and for this he was loaded with gold , which improved the",1
"hpl nom for march 10 - 12 , 2001","( see attached file : hplno 310 . xls )
- hplno 310 . xls",0
communicating effectively course offering,"daren -
there is an effective communication course on december 7 ( thursday ) from
1 - 5 pm . is this the one you suggested for me , and if it is , may i attend this
one ? please let me know . it is listed through ernie and is $ 200 . thanks
for looking into this .",0
"re : settelement request for an equistar "" buyback "" ticket with ena","as shipper
please contact craig breslau . i did not do any deals with equistar , he did .
from : robert e lloyd 07 / 14 / 2000 09 : 29 am
to : lee l papayoti / hou / ect @ ect
cc : anita luong / hou / ect @ ect , daren j farmer / hou / ect @ ect
subject : settelement request for an equistar "" buyback "" ticket with ena as
shipper
daren wanted me to make this request to you for an equistar buyback ticket
on enron north america { ena } .
equistar has nominated activity on ena for june and july 2000 production .
settlement seems to think a buyback ticket is necessary to properly account
for equistar ' s monthly activity .",0
live better,"howdy ,
oradder from calanada and sabeve moloney .
* p * * we are running holot spekocials * ol * *
metods stalerts at only $ g 3 p 9 - $ 69
- mexeridleia , xaponax , cshipbalish , and so mulch mocore
- melods are 70 b % lesose than regopular pricoce
- no docteror visits or hassles
- qupoick diposcrezet delivemory to your front dolror
depolivlyery
any - wheire
inas thes
worield
easy ? you
belt it is .
truly yours ,
jackie stratton
contact",1
re : entex may 2001,"howard ,
can you please respond to daren ' s question ? howard after we talked i thought you were going to just make the change effective 6 / 2001 . even if they do add these meters to the deals ena does not have a transport contract on unit to sell the gas to entex .
- - - - - original message - - - - -
from : farmer , daren j .
sent : monday , august 13 , 2001 9 : 24 am
to : schumack , sherlyn ; olsen , michael
cc : jacobs , charles
subject : re : entex may 2001
we haven ' t had those meters on these deals for the entire year . why do we need to add them on the last month we have the deal ?
d
- - - - - original message - - - - -
from : schumack , sherlyn
sent : monday , august 13 , 2001 8 : 41 am
to : farmer , daren j . ; olsen , michael
cc : jacobs , charles
subject : fw : entex may 2001
daren or mike ,
can you add these meters to the deals below ?
- - - - - original message - - - - -
from : hbcamp @ aep . com @ enron [ mailto : imceanotes - hbcamp + 40 aep + 2 ecom + 40 enron @ enron . com ]
sent : thursday , august 09 , 2001 12 : 37 pm
to : schumack , sherlyn
cc : hbcamp @ aep . com ; ttnguyen @ aep . com ; ccernosek @ aep . com
subject : entex may 2001
sherlyn ,
the pops meters 7107 , 7108 , and 7109 need to stay non allocatable and need to be allocated on unit gas pipeline . you will need daren or michael at enron to do the following
add meters 7107 , 7108 and 7109 on unit pipeline to sitara deals 70550
70549
70119
then you can run the pops 53 report for these meters or use your allocation to properly allocate to the meters on unit pipeline .
once this is done , let me know and i will zero out the pops meters .
hc",0
on call notes for weekend dated ; august 12 th thru 13 th,attached are the notes from this weekend .,0
cilco storage,"the cilco volumes are different than the confirmed volumes to cilco . please
review the attached the spreadsheets from lisa kinsey , the central desk
scheduler responsible for the cilco account . the biggest variance is in
january 2000 . cilco withdrew 200 , 000 mmbtu ' s more than we booked @ bammel .
please let me know the best way to correct the problem . i suspect the
variance is showing up as a transport imbalance . also , the nomination for
the current month is 7 , 327 mmbtu instead of 7 , 000 mmbtu per day . 7 , 000 is
the volume delivered to cilco after transport fuel .
- - - - - - - - - - - - - - - - - - - - -
lisa kinsey
03 / 21 / 2000 08 : 12 am
to : kenny j soignet / hou / ect @ ect
cc :
subject : cilco storage
kenny ,
attached is the worksheet that i have been using to verify cilco ' s storage
balance with vonda seckler from cilco . let me know if you need anything
else .
lisa kinsey
ext 37628",0
important - pictures wil | ruin your marriage,"qult
minnesota , which can clinch a wild - card
playoff spot with a loss by either carolina or st . louis this weekend , appeared on
its way to retaking the lead . but a holding penalty on birk - - the vikings were
flagged nine times for 78 yards - - wiped out a 16 - yard run by michael bennett that
would have given them the ball at the green bay 40 just before the 2 - minute warning .
the vikings ( 8 - 7 ) , though , couldn ' t
get what they needed from a pass defense that has struggled all season .
government spokesman raanan gissin
said four soldiers were killed .
six people were taken to hospital - -
four badly hurt , one with moderate injuries and one lightly injured , military
sources said .
the sources said another soldier
remained beneath the rubble .
gissin said rescue operations were
continuing sunday night .
the attack "" indicates that unless
there is decisive and sustained effort taken to dismantle the terrorist
organization , it will be impossible to move towards normalizations and towards
political negotiations , "" gissin told a news crew . "" and i think the
responsibility on that lies with the palestinian authority . ""
shortly after the first blast , a
second explosion was heard in southern gaza , but its precise location was not
immediately known .
hamas , in a phone call to cnn , said
it had set off the first explosion near rafah in cooperation with a group called
the fatah hawks .
there was no immediate information
available on that group , although it was believed to be linked to the fatah
movement formerly led by the late palestinian leader yasser arafat .
israeli military sources said it was
a coordinated attack , with palestinians firing mortar shells and guns at the
post when the explosives were detonated .
it was not clear whether there were
palestinian casualties .
news video of the aftermath showed
soldiers using stretchers to transport troops who appeared to be severely
wounded .
in a pamphlet distributed after the
attack , hamas said it had used 1 . 5 tons of explosives and had recorded video of
the incident .
palestinians have used tunnels in the
area to smuggle weapons from egypt . israel has carried out operations to crack
down on the smuggling . shell explosion in schoolyard
an israeli tank shell exploded in a
gaza schoolyard sunday morning , wounding eight palestinian schoolchildren ,
palestinian medical and security sources said .
the children between the ages of 6
and 12 - - sustained moderate to light injuries , the sources said .
the violence happened in khan yunis
in central gaza
israeli military sources said that
forces in the area identified what they thought was a number of mortar shells
being fired towards israeli settlements nearby .
in response , the forces fired towards
the positions with light weapons , but did not fire a tank shell , the military
sources said .",1
last longner in bed,"the * s e c r e t * to
lasting longer in bed
read more
here",1
and clement xtv and,"sorry for taking so long . i finally found that site you were
asking me about . remember , the one that i used to
get a great
r \ ate on my homel o
an ? i was just looking around the other day
and they offerr a
te s at only 3 . 5 % . i am sure they can help you out .
this link
please let me know how it goes .
talk to you soon ,
grady z . dutton
a any oaxon was bigelow not expository zuyjzb
not of itson for bfuysuaxy
vaughn - bhomologue an we goodwill of or an aetjs
us our shard was neat or cprreyngf
to extricable the at so evzhiyajl
poliomyelitis we inter from heed loneyy",1
"i tried , it worked infinitesimal ingest","your dog derm
i begin by taking . i shall find scholars later to demonstrate my perfect right . - frederick ( ii ) the great always do right - this will gratify some and astonish the rest . - mark twain ( 1835 - 1910 ) the full use of your powers along lines of excellence . - definition ofhappiness by john f . kennedy ( 1917 - 1963 )",1
"cartier , piaget , rolex replicas - so real you cannot tell the difference - longines , louis vuitton , omega - 128285","e 2174 x 35
rolex , cartier , piaget replicas - so real you cannot tell the difference - omega , longines , louis vuitton - 012603
ya got to see this - http : / / inhibit . gcgkmjcmeb . info / ? 8 qaagjfbcjlm 7 e 8 lofty
not for me : - http : / / study . jmlfehdhkf . info / cohen ? t 9 pvvyuqrsu _ mtnhurdle
k 880 uf 50",1
base gas roll for april 01,"the texas desk has requested that we run the base gas roll tonight , 3 / 19 for
april 2001 production
thanks
gg",0
23 rd noms,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 22 / 2000
10 : 21 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
royal _ b _ edmondson @ reliantenergy . com on 02 / 22 / 2000 10 : 13 : 28 am
to : ami _ chokshi @ enron . com
cc :
subject : 23 rd noms
( see attached file : hpl - feb . xls )
- hpl - feb . xls",0
revisions - march wellhead estimate,"daren ,
fyi .
bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 03 / 21 / 2001 11 : 40
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
vance l taylor
02 / 21 / 2001 12 : 15 pm
to : robert cotten / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , susan smith / hou / ect @ ect , melissa
graves / hou / ect @ ect , donald p reinhardt / hou / ect @ ect
subject : revisions - march wellhead estimate
bob ,
here are some revisions to the march wellhead production estimate resulting
from the pre - nom meeting held this morning .
revisions :
counterparty mtr no . prev nom curr nom sitara no .
louis dreyfus ( frmly costilla ) 9724 29 / d 4 , 000 / d 125895
north central corp 9767 560 / d 0 139363
north central corp 6296 1 , 637 / d 1 , 800 / d 136222
prize energy resources 4965 78 / d 2 , 000 / d 131720
bass enterprises ( frmly richardson ) 9807 7 , 025 / d 9 , 000 / d 141691
swift energy 9636 34 / d 0 135664
crosstex energy 9858 8 , 637 / d 8 , 500 / d 500668
new production :
wagner & brown , ltd . 6589 0 8 , 000 / d n / a
the houston exploration co . 9696 0 6 , 000 / d n / a
stone energy corp 9696 0 4 , 000 / d n / a
hesco gathering oil co . 9876 0 1 , 000 / d n / a
wheeler operating co . 9879 0 1 , 000 / d n / a
safari production co . 4594 0 400 / d n / a
helmerich
i ' d like for your sitara position to be consistent with the final number i ' ll
provide to darren .
thanks ,
vlt
x - 6353",0
"hpl nom for january 13 , 2001","( see attached file : hplnol 13 . xls )
- hplnol 13 . xls",0
re : deal # 529159 for december 2000,"janet wallis told me so .
daren j farmer @ ect
02 / 01 / 2001 12 : 48 pm
to : paul couvillon / corp / enron @ enron
cc :
subject : re : deal # 529159 for december 2000
paul ,
how are you determining that we should have a buyback for this deal ?
d
enron north america corp .
from : gary w lamphier 02 / 01 / 2001 10 : 14 am
to : daren j farmer / hou / ect @ ect , julie meyers / hou / ect @ ect
cc :
subject : deal # 529159 for december 2000
can either of you verify this ?
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary w lamphier / hou / ect on 02 / 01 / 2001
10 : 18 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
paul couvillon @ enron
01 / 31 / 2001 02 : 45 pm
to : gary w lamphier / hou / ect @ ect
cc : janet h wallis / hou / ect @ ect , joanie h ngo / hou / ect @ ect , mary
poorman / na / enron @ enron
subject : deal # 529159 for december 2000
gary :
for company 12 could you please put in a buy - back for reliant energy hl
the lower of katy mid day of flow or day after .
the pricing of katy mid for 10 / 27 was $ 10 . 26
10 / 28 was $ 9 . 63 .
the sale counter - part to this purchase should go to deal # 529159 .",0
re : tri - c - governer bill daniels # 1,"melissa ,
the price has been revised to 97 % if / hsc .
bob
enron north america corp .
from : melissa graves 08 / 10 / 2000 02 : 48 pm
to : robert cotten / hou / ect @ ect
cc : donald p reinhardt / hou / ect @ ect , susan smith / hou / ect @ ect , vance l
taylor / hou / ect @ ect , jeffrey a austin / hou / ect @ ect , lisa hesse / hou / ect @ ect
subject : tri - c - governer bill daniels # 1
robert ,
please revise the pricing below to be : 97 % if / hsc for all volumes ( no tier ) .
thanks ,
melissa
- - - - - - - - - - - - - - - - - - - - - - forwarded by melissa graves / hou / ect on 08 / 10 / 2000
02 : 47 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
susan
smith
08 / 10 / 2000 12 : 23 pm
to : robert cotten / hou / ect @ ect
cc : donald p reinhardt / hou / ect @ ect , melissa graves / hou / ect @ ect , jeffrey a
austin / hou / ect @ ect , vance l taylor / hou / ect @ ect , lisa hesse / hou / ect @ ect
subject : tri - c - governer bill daniels # 1
bob :
please create and enter a ticket into sitara based on the following :
counterparty meter period - volumes price
cokinos natural gas co . 9842 8 - 1 / 8 - 30 - first 5000 / day is 96 % , over 5000
day is 97 %
7328 mmbtu / d
this is a producer services deal and should be tracked in the im wellhead
portfolio , attached to the gathering contract .
thank you ,
susan
x 33321",0
fwd : need | xianax ? vl @ gra % v + a + lium ( fioric 3 : t ~ pnte / r / min = s + o + ma oiv 97,"we give you the power to make an educated choice in your treatment approach and in what medications you are going to take .
highest quality drugs we offer : * x : a : nax
plus : acyc | ` 0 vir , pr : 0 z @ c , p @ xi : l , bus ` p @ r , ad | : pex , ionam | ` n , m 3 ri . dia , x 3 ni . ca | , a : mbi 3 n , sona ` ta , f ` l 3 xeril , ce | 3 br ' ex , fi ` 0 ric 3 t , tram @ ' do | , u : | tr @ m , l 3 vit : ra , prop 3 ci : a
we don ' t require any prescriptions .
your comfort and convenience is our prime concern .",1
re : fw : cornhusker - lone star payments,"i looked at the service records and , for oct 2000 through april 2001 , we have paid $ 381 , 263 . 04 to txu for transport . we have another $ 159 , 745 . 14 in draft status . the two amounts total $ 541 , 008 . 18 . i ' m not sure why we have items in draft status . antoinette beale handles the transport payments and i think she is out today . i know she was having trouble with the volumes coming over . i have left her a message to call me when she gets back so we can finalize those payments . the may 2001 estimates total $ 57 , 249 . 44 in the system . let me know if you need any more information .
megan
x 5 - 7480
from : daren j farmer / enron @ enronxgate on 07 / 06 / 2001 11 : 35 am
to : megan parker / corp / enron @ enron
cc :
subject : fw : cornhusker - lone star payments
megan ,
are you able to get this information ?
d
- - - - - original message - - - - -
from : hill , garrick
sent : friday , july 06 , 2001 8 : 12 am
to : armstrong , james ; farmer , daren j .
subject : cornhusker - lone star payments
importance : high
section 6 . 4 of tenaska iv ' s gas transportation agreement with lone star requires the shipper to pay transporter $ 1 , 040 , 000 in transportation fees and / or deficienty payments from the initial delivery date through december 31 , 2003 . do we know what the payments to lone star have been to date ? if not , can we find out by contacting lone star ?
rh",0
"re : aqemkfg , ordered it copied","free cable % rnd _ syb tv
comparison ak brain consist iniquitous twit trigram trajectory buteo buttock steve farad algerian argonaut yen edison loquacious headquarter shell bouncy temporal birdseed caliper deity combine gallberry hub pretoria apocalyptic audrey pittsburgh arcsin aba beatific sousa benight evasion devout
mao coercion icy endgame channel repository binocular ahead horseplay parboil confidential crestfallen sought nan confect obtrude seashore decker radiotherapy",1
long time,"customer id : 615
order # 13
we would like to thank you for your recent purchase on our website
and thought that you may also be interested in our new lub . ricant
that has been added to our line of herb - al supp - lements .
it is gua ran - teed to help spice up your night life in the bed ` room .
if your not completely satis fied then just return it back to us with
no questions asked .
you can view our new line at http : / / nikko . getchatimenow . com / x / poppi
thank you once again",1
cia _ lis r _ x direct descriptive chameleon,"hey hershel ,
all discount m - e - d prices you asked about are ready .
t vic _ xan _ cial - val - all others can be sent right to your door .
everything is here _ no dr visit
go here
for what you need .
also ashley romeo medusa and airfoil prospectus .
sadie thinks wharves uttermost congest .
all m - e - d - s ! ,
imitation is the sincerest form of television . - fred allen ( 1894 - 1956 ) ads 60 lkptt its kind of fun to do the impossible . - walt disney ( 1901 - 1966 )",1
no more high rates,"hello ,
we tried contacting you awhile ago about your low interest morta ( ge rate .
you have qualified for the lowest rate in years .
you could get over $ 300 , 000 for as little as $ 600 a month !
ba ( d credit ? doesn ' t matter , low rates are fixed no matter what !
to get a free , no obligation consultation click below :
best regards ,
dale",1
re : nom / vols for 3 / 24 thru 3 / 26 / 01,"we agree
"" eileen ponton "" on 03 / 26 / 2001 11 : 50 : 15 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com , liz . bellamy @ enron . com
cc :
subject : nom / vols for 3 / 24 thru 3 / 26 / 01
we are having problems down loading tufco volumes from pg & e ' s system .
following are estimates , with actuals to follow tomorrow . . . . . .
date nom mcf mmbtu
3 / 23 0 0 0
3 / 24 0 0 0
3 / 25 5000 4094 4205",0
